"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2024-04-06","86.1","0.64","6.03","Chapman, Aroldis",683002,547973,"walk","ball",,,,,13,"Gunnar Henderson walks.","R","L","L","PIT","BAL","B",,,3,0,2024,"-1.17","0.13","-1.08","0.93",,,,1,8,"Top",,,,,663698,,,-1.746187947669641,-125.37028121719597,-6.282020006029517,-12.057343793564907,24.207139403498044,-29.735583101373827,"3.45","1.63",,,,"88",2101,"7.3",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.16",,,"0.7",1,0,0,,58,4,"Slider",3,2,2,3,2,3,2,3,"Standard","Standard",269,"-0.062","0.107"
"FF","2024-04-06","95.1","0.74","5.96","Chapman, Aroldis",683002,547973,,"ball",,,,,13,"Gunnar Henderson walks.","R","L","L","PIT","BAL","B",,,2,0,2024,"0.21","1.3","-1.56","0.63",,,,1,8,"Top",,,,,663698,,,-6.63061334571196,-138.08880801120486,-11.512651191883913,4.0195961365483015,27.444681848648425,-13.205081582177508,"3.47","1.64",,,,"97.5",2234,"7.5",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.99",,,,,,,,58,3,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",154,"0","0.094"
"SL","2024-04-06","85.4","0.61","5.95","Chapman, Aroldis",683002,547973,,"ball",,,,,13,"Gunnar Henderson walks.","R","L","L","PIT","BAL","B",,,1,0,2024,"-0.57","0.69","-0.51","0.4",,,,1,8,"Top",,,,,663698,,,-1.5077466424889334,-124.20029902349584,-8.356317130346284,-5.6369210662225875,23.633890949861733,-23.6218951502145,"3.48","1.58",,,,"87.6",2212,"7.6",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.9",,,,,,,,58,2,"Slider",3,2,2,3,2,3,2,3,"Standard","Standard",281,"0","0.038"
"SI","2024-04-06","99.5","0.82","5.87","Chapman, Aroldis",683002,547973,,"ball",,,,,13,"Gunnar Henderson walks.","R","L","L","PIT","BAL","B",,,0,0,2024,"1.21","1.02","-0.19","0.97",,,,1,8,"Top",,,,,663698,,,-5.679194778667958,-144.44101042644564,-10.528074086437613,18.303792264479668,35.024090497803314,-15.514919750792718,"3.65","1.75",,,,"100.6",2390,"7.1",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.37",,,,,,,,58,1,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",161,"0","0.028"
"SL","2024-04-06","85.8","0.32","6.05","Chapman, Aroldis",622761,547973,"strikeout","swinging_strike",,,,,7,"Jorge Mateo strikes out swinging.","R","R","L","PIT","BAL","S",2,,3,2,2024,"-0.47","0.74","-0.41","1.57",,,,0,8,"Top",,,,,663698,,,-0.8052508690548834,-125.0053524473787,-6.076701507315157,-4.839699346860468,21.921476566512062,-23.49807247353918,"3.36","1.63",,,,"88.6",2186,"7.7",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.85",,,"0",1,0,0,,57,6,"Slider",3,2,2,3,2,3,2,3,"Standard","Standard",253,"0.054","-0.307"
"SI","2024-04-06","99.5","0.55","5.92","Chapman, Aroldis",622761,547973,,"ball",,,,,13,"Jorge Mateo strikes out swinging.","R","R","L","PIT","BAL","B",,,2,2,2024,"1.07","1.35","-0.22","0.04",,,,0,8,"Top",,,,,663698,,,-4.73230882360292,-144.2466940914079,-14.104482394679604,16.09575072600525,34.98127178618174,-10.092718336340848,"3.3","1.53",,,,"101.2",2314,"7.5",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.97",,,,,,,,57,5,"Sinker",3,2,2,3,2,3,2,3,"Standard","Standard",157,"0","0.099"
"SL","2024-04-06","84.3","0.35","6.05","Chapman, Aroldis",622761,547973,,"called_strike",,,,,6,"Jorge Mateo strikes out swinging.","R","R","L","PIT","BAL","S",,,2,1,2024,"-0.93","0.66","0.37","2.73",,,,0,8,"Top",,,,,663698,,,1.9583486417474145,-122.72481720077916,-2.7302869008192587,-9.79135321124007,24.124172607269532,-25.13173421964937,"3.33","1.57",,,,"86.4",2156,"7.6",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.91",,,,,,,,57,4,"Slider",3,2,2,3,2,3,2,3,"Standard","Standard",249,"0","-0.073"
"FF","2024-04-06","94.9","0.79","5.96","Chapman, Aroldis",622761,547973,,"called_strike",,,,,2,"Jorge Mateo strikes out swinging.","R","R","L","PIT","BAL","S",,,2,0,2024,"0.53","1.42","-0.13","3.01",,,,0,8,"Top",,,,,663698,,,-3.6866221574968856,-138.11942574463748,-5.370619537308582,7.570793472146724,29.34238672844419,-13.010469173588566,"3.18","1.57",,,,"97.1",2220,"7.4",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.08",,,,,,,,57,3,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",153,"0","-0.065"
"FF","2024-04-06","94.3","0.65","5.83","Chapman, Aroldis",622761,547973,,"ball",,,,,13,"Jorge Mateo strikes out swinging.","R","R","L","PIT","BAL","B",,,1,0,2024,"0.52","1.48","-0.56","0.09",,,,0,8,"Top",,,,,663698,,,-4.419650895845102,-136.77431372772338,-12.796122011947135,7.450863057617176,27.1428041476498,-11.134711003341023,"3.29","1.57",,,,"96.7",2142,"7.6",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"52.89",,,,,,,,57,2,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",157,"0","0.069"
"FF","2024-04-06","96.9","0.66","5.9","Chapman, Aroldis",622761,547973,,"ball",,,,,13,"Jorge Mateo strikes out swinging.","R","R","L","PIT","BAL","B",,,0,0,2024,"0.37","1.55","-1.42","0.75",,,,0,8,"Top",,,,,663698,,,-6.513167542472582,-140.66114898109126,-11.983871345805888,6.287843508052189,28.659702967389993,-9.155195164336538,"3.35","1.59",,,,"99.1",2236,"7.4",745522,547973,663698,642133,675961,669707,665833,668804,669261,656582,"53.08",,,,,,,,57,1,"4-Seam Fastball",3,2,2,3,2,3,2,3,"Standard","Standard",158,"0","0.041"
